البطولة,الفريق الأول,الفريق الثاني,النتيجة,الوقت,رابط المباراة
كأس العالم تحت 20 عاما,تشيلي - شباب,نيوزيلندا - شباب,2 - 1,02:00,https://www.yallakora.com/fifa-u-20-world-cup/2969/match/104752/%d8%aa%d8%b4%d9%8a%d9%84%d9%8a-%d8%b4%d8%a8%d8%a7%d8%a8-%d9%86%d9%8a%d9%88%d8%b2%d9%8a%d9%84%d9%86%d8%af%d8%a7-%d8%b4%d8%a8%d8%a7%d8%a8-%d9%83%d8%a3%d8%b3-%d8%a7%d9%84%d8%b9%d8%a7%d9%84%d9%85-%d8%aa%d8%ad%d8%aa-20-%d8%b9%d8%a7%d9%85%d8%a7#MC_MatcheDetails
كأس العالم تحت 20 عاما,باراجواي - شباب,بنما - شباب,3 - 2,02:00,https://www.yallakora.com/fifa-u-20-world-cup/2969/match/104757/%d8%a8%d8%a7%d8%b1%d8%a7%d8%ac%d9%88%d8%a7%d9%8a-%d8%b4%d8%a8%d8%a7%d8%a8-%d8%a8%d9%86%d9%85%d8%a7-%d8%b4%d8%a8%d8%a7%d8%a8-%d9%83%d8%a3%d8%b3-%d8%a7%d9%84%d8%b9%d8%a7%d9%84%d9%85-%d8%aa%d8%ad%d8%aa-20-%d8%b9%d8%a7%d9%85%d8%a7#MC_MatcheDetails
كأس العالم تحت 20 عاما,المغرب - الشباب,إسبانيا - شباب,- - -,23:00,https://www.yallakora.com/fifa-u-20-world-cup/2969/match/104762/%d8%a7%d9%84%d9%85%d8%ba%d8%b1%d8%a8-%d8%a7%d9%84%d8%b4%d8%a8%d8%a7%d8%a8-%d8%a5%d8%b3%d8%a8%d8%a7%d9%86%d9%8a%d8%a7-%d8%b4%d8%a8%d8%a7%d8%a8-%d9%83%d8%a3%d8%b3-%d8%a7%d9%84%d8%b9%d8%a7%d9%84%d9%85-%d8%aa%d8%ad%d8%aa-20-%d8%b9%d8%a7%d9%85%d8%a7#MC_MatcheDetails
كأس العالم تحت 20 عاما,إيطاليا - شباب,أستراليا - شباب,- - -,23:00,https://www.yallakora.com/fifa-u-20-world-cup/2969/match/104764/%d8%a5%d9%8a%d8%b7%d8%a7%d9%84%d9%8a%d8%a7-%d8%b4%d8%a8%d8%a7%d8%a8-%d8%a3%d8%b3%d8%aa%d8%b1%d8%a7%d9%84%d9%8a%d8%a7-%d8%b4%d8%a8%d8%a7%d8%a8-%d9%83%d8%a3%d8%b3-%d8%a7%d9%84%d8%b9%d8%a7%d9%84%d9%85-%d8%aa%d8%ad%d8%aa-20-%d8%b9%d8%a7%d9%85%d8%a7#MC_MatcheDetails
الدوري المصري,مودرن سبورت,فاركو,1 - 1,17:00,https://www.yallakora.com/egyptian-league/2977/match/104990/%d9%85%d9%88%d8%af%d8%b1%d9%86-%d8%b3%d8%a8%d9%88%d8%b1%d8%aa-%d9%81%d8%a7%d8%b1%d9%83%d9%88-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%85%d8%b5%d8%b1%d9%8a#MC_MatcheDetails
الدوري المصري,وادي دجلة,سموحة,- - -,20:00,https://www.yallakora.com/egyptian-league/2977/match/104991/%d9%88%d8%a7%d8%af%d9%8a-%d8%af%d8%ac%d9%84%d8%a9-%d8%b3%d9%85%d9%88%d8%ad%d8%a9-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%85%d8%b5%d8%b1%d9%8a#MC_MatcheDetails
الدوري المصري,غزل المحلة,إنبي,- - -,20:00,https://www.yallakora.com/egyptian-league/2977/match/104992/%d8%ba%d8%b2%d9%84-%d8%a7%d9%84%d9%85%d8%ad%d9%84%d8%a9-%d8%a5%d9%86%d8%a8%d9%8a-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d9%85%d8%b5%d8%b1%d9%8a#MC_MatcheDetails
الدوري الإنجليزي,أستون فيلا,فولهام,3 - 1,16:00,https://www.yallakora.com/epl/2968/match/104645/%d8%a3%d8%b3%d8%aa%d9%88%d9%86-%d9%81%d9%8a%d9%84%d8%a7--%d9%81%d9%88%d9%84%d9%87%d8%a7%d9%85-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%86%d8%ac%d9%84%d9%8a%d8%b2%d9%8a#MC_MatcheDetails
الدوري الإنجليزي,نيوكاسل,أرسنال,1 - 0,18:30,https://www.yallakora.com/epl/2968/match/104652/%d9%86%d9%8a%d9%88%d9%83%d8%a7%d8%b3%d9%84-%d8%a3%d8%b1%d8%b3%d9%86%d8%a7%d9%84-%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d9%86%d8%ac%d9%84%d9%8a%d8%b2%d9%8a#MC_MatcheDetails
الدوري الإسباني,رايو فاييكانو,اشبيلية,0 - 1,15:00,https://www.yallakora.com/la-liga/2982/match/105002/%d8%b1%d8%a7%d9%8a%d9%88-%d9%81%d8%a7%d9%8a%d9%8a%d9%83%d8%a7%d9%86%d9%88-%d8%a7%d8%b4%d8%a8%d9%8a%d9%84%d9%8a%d8%a9--%d8%a7%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84%d8%a5%d8%b3%d8%a8%d8%a7%d9%86%d9%8a#MC_MatcheDetails
